VeldwerkPeriode	Datum_ref	plhh	M_V	Lft	BurgSt	JongKind	BetWrkNu	UrenWeek	IsHetDan	Werknemer	BedrPrak	MaatsPos	Ooit12	VAR1061A	VAR1061B	VAR1062A	VAR1062B	V401	VAR648s	VAR149s	VAR1358	VAR058	VAR059	VAR365	VAR065	VAR091	VAR055	VAR066	VAR092s	VAR571s	VAR573s	VAR154	VAR155	VAR156	VAR157A	VAR154A	VAR164	VAR165	VAR1344	VAR198A	VAR198	VAR201A	VAR201B	VAR204	INT229	VAR1345	VAR211	VAR205	VAR1346	VAR1320	VAR1321	VAR1322	VAR1366	VAR1367	VAR229	INT218s	INT219s	INT221s	INT222s	VAR433s	VAR439s	VAR1329s	VAR1330s	VAR445s	VAR446s	VAR447s	VAR1316s	VAR1317s	VAR122	INT313	INT314	VAR1331	VW065	VAR491s	VAR040	VAR1304	VAR1146	VAR1163	VAR274s	VAR275	VAR1196	VAR1197	VAR461s	VAR457	VAR458	VAR459	VAR273s_a	VAR273s_b	VAR239	VAR318	VAR319	VAR320	VAR1209	VAR1210	VAR1206	VAR599s	VAR600s	VAR408	VAR409	VAR1046sA	VAR1046sB	VAR1046sC	VAR1046sD	VAR1046sE	VAR1046sJ	VAR1046sK	VAR1046sL	VAR1046sM	VAR1046sN	VAR1046sO	VAR1046sP	VAR687s	VAR689s	VAR953	VAR1265	VAR351s	VAR595	VAR1347	VAR1348	VAR1349	VAR1350	VAR1335	VAR1351	VAR1352	VAR1353	VAR1368	VAR1369	VAR1370	VAR544s	VAR1355	VAR757BM41	VAR1318s	VAR347s	VAR1017	VAR357	INT076	VAR1338	VAR1339	VAR1340	VAR1341	VAR1342	VAR516	VAR683Bs	VAR728Bs	VAR729Bs	VAR546	VAR758	VAR759	VAR1031	VAR1103	VAR1104	VAR1106	VAR1315A	VAR1359	VAR1360	VAR1361	VAR1362	VAR1363	VAR1364	VAR1365	VAR1311	VAR1312	VAR1313	VAR1314	Overhand	Variant	V03	V04	V05	V06	V07	V08	V091	V092	V093	V094	V095	V10	V11	V121	V122	V123	V131	V132	V133	V134	V14	V151	V152	V153	V1601	V1602	V1603	V1604	V1605	V1606	V1607	V1608	V1609	V1610	V1611	V17	V18	V19	V201	V202	V203	V204	V205	V206	V211	V212	V213	V214	V215	V22	V231	V232	V233	V241	V242	V243	V251	V252	V253	V254	V261	V262	V263	V264	V271	V272	V273	V274	V275	V276	V281	V282	V283	V284	V285	V291	V292	V293	V294	V295	V30	V31	V32	V33	V34	V3501	V3502	V3503	V3504	V3505	V3506	V3507	V3508	V3509	V3510	V3601	V3602	V3603	V3604	V3605	V3606	V3607	V3608	V3609	V3610	V3611	V3612	V3613	V37	V38	V39	V40	V41	V421	V422	V4301	V4302	V4303	V4304	V4305	V4306	V4307	V4308	V4309	V4310	V44	V45	V46	V47	V481	V482	V483	V484	V485	V491	V492	V493	V494	V501	V502	V503	V504	V51	V521	V522	V523	V53	V541	V542	V551	V552	V561	V562	V57	V581	V582	V583	V584	V585	V586	V59	V60	V611	V612	V613	V6201	V6202	V6203	V6204	V6205	V6206	V6207	V6208	V6209	V6210	V6211	V6212	V6213	V6214	V631	V632	V633	V634	V635	V64	V65	V66	V671	V672	V673	V674	V675	V676	V677	V681	V682	V683	V684	V685	V686	V691	V692	V7001	V7002	V7003	V7004	V7005	V7006	V7007	V7008	V7009	V7010	V7011	V71	V72	V731	V732	V733	V734	V735	V736	V737	V74	V76	Herkomst3	TypeHH	StedGem	bvrhink	bvrsamhhr	BVRBBIHALG1	pink	SECCOAL1	CWI_INGESCHREVEN	CWI2	Afl_SOI3_HB	CV_EindGewicht	SLI_EindGewicht	catbvrpriminkh	catbvrbrutinkh	catbvrbestinkh	catbvrgestinkh	catpersbrut	catpersink	catpersprim	volgnummer
201409	"11092014"	1	2	5	2	2	2					7	1	2		2		2	8	3		2	2	2	1	2	2		4	2	1	2	2	2	2	2	1	5	5	1	1	1	1	4	6	1	3	2	2	2	3	2	4	3	3	4	3	4	6	4	1	2	4	5	2	2	3	4	6	1	2	2	2	4	4	2	2	2	1	15	1	1	3	3	3	3	3		1	1	1	1	2	2	2	2	2	3	2	10	6	9	3	8	10	5	5	9	9	9	8	2	1	3	4	3	4	5	4	2	1	3	1	5	5	5	3	2	3	3	1	3	3	2	4	4	3	1	3	2	1	1	3	3	3	1	1	1	2	2	3	3	2	60	5	7	7	7	8	8	3	3	2	2	1	1	3	2	4	20	5	1915	4	2	4	4	2	1	2	3	3	3	4	4	2	2	2	3	3	3	8	10	5	5	3	8	7	99	8	7	7	2	5	4	2	1	2	1	3	2	1	4	5	5	6	2	2	3	2	5	3	5	1	2	4	2	5	5	4	4	2	4	2	4	3	4	2	2	2	2	3	3	1	1	2	1	1	1	1		4	2	2	1	2	2	2	1	2	2	999	2	2	2	2	2	2	2	2	2	2	2	2	999	2		2	4				1	1	1	1	1	1	1	1	1	1	2	2		4	2	2	2	2	2	4	5	5	5	3	1	3	3	1	3	3	9	3	3	3	5	5	3	3	1	4	4	2	4	5	2	5	1	1	1	9	3	3	3	1	3	1	3	3	3	3	3	3	3	3	1	1	2	2	2	5	2	5	2	2	2	2	2	2	2	3	4	4	3	4	3	3	3	1	5	2	3	2	3	2	4	3	2	3	4	1	4	4	4	4	4	3	4	2	1	1	1	2	1	1	9	1	11	0	1	1	6280.78332	8760.988287	1	2	2	2	2	2	1	221
201409	"04092014"	1	1	5	1	2	1	20		2	1			2		2		2	9	1	5	1	1	1	2	1	1		3	3	3	1	1	1	1	1	2	3	3	1	1	2		4	5	2	2	2	3	2	1	3	2	2	3	4	2	4	4	5	2	6	4	5	3	2	4	2	4	2	1	1	2	2	1	2	2	2	1	15	2	2	4	4	2	5	1	1	1	1	1	1	1	1	1	1	1	3	1	9	8	5	8	9	9	8	6	9	9	9	3	1	2	2	3	3	4	3	3	3	1	3	2	2	5	3	4	1	1	3	2	3	2	1	2	2	2	2	3	2	2	2	3	3	3	2	2	2	1	2	3	3	2	50	75	40	40	70	80	60	2	2	2	2	1																																																																																																																																																																																																																																		1	3	2	1	2	3	1	3	0	1	3	3528.091988		6	6	6	6	6	6	6	222
201409	"17092014"	1	1	4	1	2	1	40		2	1			2		2		2	8	1	5	1	1	1	2	1	1		3	3	3	2	2	1	2	1	2	4	4	1	1	2		4	1	2	2	2	2	2	2	1	3	4	2	3	2	4	2	2	2	4	4	4	4	4	3	2	4	2	2	2	1	2	1	2	2	3	1	6	1	1	4	4	2	3	1	2	2	2	2	2	2	2	3	2	2	2	1	8	8	5	8	6	7	8	7	7	7	7	6	1	1	2	3	4	2	4	4	1	2	4	2	4	4	2	4	2	1	1	1	1	2	4	4	2	1	1	2	2	1	2	3	3	3	1	1	1	2	1	2	1	1	70	80	70	80	80	90	80	2	3	2	2	1	1	2	1	4	75	6	2005	2	2	2	2	2	1	2	3	3	3	3	3	3	3	2	5	5	5	9	9	9	9	7	8	9	8	6	7	7	2	8	2	1	3	1	1	1	3	1	3	1	3	4	5	1	1	1	2	2	2	1	1	2	4	2	2	5	4	2	2	4	2	3	3	4	4	4	4	5	4	3	4	4	3	4	3		1	4	2	2	2	2	2	2	2	2	2	999	2	2	2	2	2	2	2	2	2	2	2	2	999	1	1	1		2	2		2	3	1	3	1	2	2	4	3	1	2	1	3	2	1	1	1	1	1	3	2	2	2	3	3	3	3	1	2	2	2	3	3	3	4	4	4	4	2	3	4	2	2	5	2	4	2				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	2	5	1	1	2	2	2	1	1	4	3	4	3	3	4	2	1	1	5	3	5	1	5	3	5	3	4	4	5	3	3	2	2	3	2	3	3	1	2	1	3	2	1	2	1	1	1	0	1	2	4168.814778	5046.605696	6	6	6	6	6	6	6	223
201409	"10092014"	1	2	3	2	1	1	20		2	1			1	4	1	3	2	9	2	5	1	1	2	2	1	1	3	2	2	3	1	2	2	2	2	2	3	1	1	1	1	1	4	4	2	2	2	3	2	3	1	2	3	3	3	2	5	1	3	5	5	2	5	2	2	1	1	1	1	2	1	1	2	1	1	2	2	1	6	1	1	4	4	2	3	1	2	2	2	2	2	3	2	3	2	1	3	1	9	8	5	9	7	7	8	7	8	7	7	7	2	2	3	2	5	2	5	5	4	4	2	2	1	2	1	1	3	1	1	1	1	2	5	5	2	1	2	2	2	1	3	3	3	3	1	1	1	3	1	2	1	1	8	8	8	8	8	8	8	2	3	2	3	1	1	2	1	5	40	6	2004	2	2	2	4	2	2	2	3	3	3	3	4	4	4	2	4	4	4	8	8	8	8	8	8	8	8	6	7	7	2	8	2	1	3	1	1	1	3	1	1	1	2	2	3	1	1	1	2	3	3	1	1	1	4	2	2	5	2	4	3	4	2	4	2	3	4	4	4	4	4	4	3	2	4	4	3		1	4	2	1	2	2	2	1	2	2	2	999	2	1	2	2	2	1	1	1	2	2	2	2	999			1		2	3		1	2	1	1	1	2	1	2	2	1	2	1	1	1	1	1	1	1	2	5	1	1	1	3	3	3	3	2				3	3	3	5	5	5	5	1	4	4	2	2	2	2	5	2				1	1	1	1	1	1	1	1	1	1	1	1	9	1	1	1	1	1	1	4	2	5	1	1	1	1	1	1	2	3	2	3	2	4	4	2	2	1	5	4	5	1	5	2	5	5	4	4	5	1	4	4	4	4	2	2	4	1	2	1	2	2	1	3	5	1	4	0	1	3	5479.760431	7631.13579	6	6	6	3	3	3	3	224
201409	"23092014"	1	1	2	1	1	1	38		1				2		2		2	8	2	5	1	2	2	2	1	1	3	4	1	1	2	2	2	1	1	2	4	5	1	1	2		4	1	4	2	1	4	2	1	1	4	4	2	4	2	5	4	5	5	3	2	5	3	3	5	2	5	3	2	2	2	2	1	2	2	2	1	9	2	1	3	4	2	2	3		2	1	1	1	2	2	2	2	2	2	1	8	8	7	8	8	8	8	8	8	8	8	4	2	1	2	3	1	2	5	4	4	4	4	1	4	4	4	4	2	1	2	1	3	4	2	4	2	2	2	2	2	2	2	2	3	3	2	2	2	1	2	3	4	3	0	30	0	30	20	70	80	4	1	1	1	1	2	2	1	4	33	6	2002	2	2	2	5	2	2	2	3	3	3	4	4	4	4	3	5	5	5	8	8	8	8	8	8	8	8	8	7	7	2	10	3	1	3	1	1	1	3	1	1	1	1	3	3	1	2	1	2	2	2	1	1	1	4	2	2	5	2	3	2	4	2	2	2	4	4	4	4	4	4	4	4	4	4	1	3		1	4	2	2	2	2	2	1	2	2	2	999	2	2	2	2	2	2	2	2	2	2	2	2	999	2		2	4				1	1	1	1	1	1	2	3	2	2	2	1	2	1	1	1	1	1	1	3	2	3	2	3	3	3	3	1	3	3	3	3	3	3	4	4	5	5	1	5	5	2	2	2	2	5	2				1	1	3	1	1	1	1	1	1	3	3	1	1	1	1	1	1	1	1	4	2	4	2	2	2	2	2	2	2	3	2	3	4	2	3	2	2	2	4	4	4	2	4	4	4	2	4	4	4	3	3	2	3	4	2	2	4	1	2	1	2	2	1	3	1	1	1	0	1	2	3599.563472	5335.390578	6	6	5	3	6	5	6	225
201409	"03092014"	1	2	5	1	2	2					7	1	2		1	30	2	10	1		2	1	1	1	1	1		4	1	1	1	9	1	9	9	1	4	5	1	1	1	1	1	5	1	1	3	4	1	4	1	2	2	3	4	2	2	3	5	2	1	5	5	1	1	1	1	3	1	1	4	2	4	4	4	3	4	2		2	2	6	6	2	6	1	2	1	1	1	1	9	4	2	2	2	3	2	5	3	8	9	9	10	8	8	8	9	7	6	1	1	2	1	5	5	4	4	1	1	3	1	4	2	3	4	2	1	2	1	1	3	2	3	1	3	1	3	3	2	1	3	3	3	1	2	1	1	2	1	2	2	60	70	50	80	40	80	70	2	3	3	3	1																																																																																																																																																																																																																																		1	3	1	1	17	9	1	11	0	1	1	8067.710413		1	4	3	3	1	1	1	226
201409	"19092014"	1	2	2	1	2	1	42		1				2		2		1	8	2	5	2	1	2	2	1	1		2	3	3	1	1	1	2	1	2	4	4	1	1	2		5	4	3	2	3	3	2	1	2	4	3	3	3	3	5	2	5	5	4	3	5	4	4	6	6	4	2	2	2	1	2	3	2	2	3	1	6	1	2	3	4	4	2	1	2	2	2	2	2	2	2	1	2	2	3	1	9	8	7	9	9	9	7	7	9	9	8	8	1	1	3	2	5	2	4	4	3	3	4	2	2	4	2	4	2	1	2	1	1	1	1	5	1	1	1	2	2	1	2	3	3	3	2	4	1	2	1	3	2	2	20	40	50	50	40	50	60	2	2	2	2	1	2	2	1	3	45	8	2009	2	2	2	4	2	2	2	3	3	3	3	3	4	4	2	5	4	5	8	8	8	8	8	8	8	8	8	8	7	2	8	2	1	3	1	1	1	3	3	1	3	4	3	4	1	1	1	3	4	3	2	1	1	4	2	2	3	2	4	3	3	2	4	3	3	4	4	4	4	4	4	4	4	4	1	3		1	4	2	2	2	2	2	2	2	2	2	999	2	2	2	2	2	2	2	2	2	2	2	2	999	2		1		1	3		1	2	1	1	1	2	2	4	2	2	2	1	3	2	1	1	1	1	1	5	1	1	1	3	3	3	3	2				3	3	3	5	5	5	5	1	4	5	2	3	5	2	4	2				1	1	3	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	9	3	2	5	2	2	2	2	2	2	2	3	4	4	4	6	4	2	2	1	5	5	5	1	5	5	5	5	5	5	5	1	4	4	4	4	1	4	5	1	1	1	3	1	1	2	1	1	1	0	1	3	7670.230423	15761.039823	6	6	5	4	4	4	4	227
201409	"12092014"	1	2	3	2	1	1	32		1				1	6	2		1	9	2	5	1	1	1	2	1	1	3	3	2	3	1	1	1	9	1	2	3	3	2		2		4	4	4	2	2	4	1	4	3	3	3	3	3	2	5	3	5	5	3	5	5	3	2	6	3	5	3	1	2	2	4	2	2	2	3	2		3	2	3	4	4	3	3		2	2	1	1	3	3	3	2	2	3	2	7	5	7	5	8	8	6	4	7	7	7	2	2	1	2	4	3	4	4	4	3	2	3	3	2	3	2	3	3	1	2	1	1	1	2	3	1	1	1	2	2	1	2	2	3	3	2	2	1	1	2	4	4	2	20	40	30	30	50	60	80	4	2	1	1	1																																																																																																																																																																																																																																		1	2	1	1	3	1	1	1	0	1	3	5545.001675		6	6	6	4	5	4	5	228
201409	"01092014"	1	2	2	1	2	1	36		1				2		2		1	7	2	3	1	1	2	2	1	1		4	2	1	1	2	2	2	1	1	5	4	1	1	2		5	4	3	2	1	3	2	2	3	4	4	3	4	4	5	4	5	4	2	3	5	4	4	5	3	5	1	2	2	2	3	2	2	3	3	2		2	2	3	2	6	6	1	2	2	1	2	1	3	2	2	2	2	3	2	9	7	7	8	6	9	8	7	9	7	7	5	1	1	2	3	2	3	4	4	4	1	4	2	4	4	4	4	2	3	3	2	3	5	3	2	2	1	1	2	2	2	2	2	3	3	2	2	1	1	3	3	2	3	30	40	35	50	40	60	75	4	1	2	2	1	1	2	1	4	300	7	2012	2	2	2	4	2	3	3	3	2	3	3	3	3	2	1	5	4	5	8	7	8	7	7	7	8	7	6	6	6	3	7	3	1	2	1	1	1	2	1	1	4	5	5	5	1	1	1	2	2	2	3	3	3	2	4	4	2	4	2	2	3	2	4	2	2	2	3	3	3	3	3	3	2	2	4	2		1	4	1	1	2	2	1	2	2	2	2	999	2	2	2	2	2	2	2	2	2	2	2	2	999	1	2	1		2	4	2	1	2	1	1	1	1	2	3	1	1	2	1	3	3	1	1	1	2	2	3	1	1	1	3	3	3	3	2				2	3	3	5	5	5	5	1	3	5	2	2	3	3	4	2				1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	1	1	9	2	3	5	1	1	2	2	2	2	1	4	4	3	4	3	3	2	2	2	4	3	2	4	4	3	4	2	2	4	3	1	2	4	3	3	5	2	3	1	2	1	3	1	1	2	1	1	1	0	1	2	3437.621878	4986.607405	6	6	5	4	6	6	6	229
201409	"01092014"	1	1	5	1	2	1	40		1				1	4	2		1	9	1	5	1	1	1	2	1	1		4	3	3	1	9	1	9	1	2	3	4	1	1	2		5	2	3	2	2	3	2	3	1	4	4	5	3	3	5	2	3	5	1	2	4	3	3	5	3	2	2	2	2	1	2	1	1	2	2	1	5	1	1	2	4	3	2	3		1	2	1	1	2	1	2	2	2	3	1	8	8	8	10	8	9	10	9	9	9	9	6	1	1	2	2	5	2	5	4	3	2	4	1	3	5	4	3	1	1	2	1	1	1	3	6	3	2	1	1	1	1	2	3	3	3	4	1	1	2	1	3	3	1	60	80	70	80	70	70	80	2	2	3	3	1	1	2	1	5	48	3	1974	1	2	2	5	3	4	4	3	2	2	3	4	3	2	4	4	4	4	9	8	9	10	8	10	10	10	9	7	7	1	9	2	1	3	1	2	3	2	2	3	1	1	5	3	2	2	1	3	3	3	1	1	2	4	2	2	4	3	3	3	4	2	4	3	4	3	4	3	4	3	2	3	4	4	1	3		1	1	2	2	2	2	2	2	2	2	2	999	1	2	2	2	2	2	2	2	2	2	2	2	999			2	4				4	4	9	9	4	9	9	3	5	9	3	1	999	2	1	1	1	1	1	4	4	1	4	3	3	3	3	1	2	2	3	2	3	2	5	5	4	4	3	3	4	2	2	4	2	4	2				1	1	1	1	3	1	3	3	1	1	1	1	3	1	1	1	1	1	9	4	2	5	2	2	2	1	2	2	2	3	3	3	2	2	6	2	1	1	4	3	3	1	5	3	5	3	3	3	3	3	3	3	3	4	2	4	3	2	2	1	3	1	1	2	1	1	1	0	1	2	6562.644438	7404.902757	6	6	5	4	6	5	6	230
201409	"29092014"	1	1	2	2	1	1	40		1				2		2		2	8	4	2	2	1	2	1	2	1	5	4	2	3	2	1	1	2	1	1	5	2	2		2		5	1	3	1	1	2	2	2	9	2	9	3	4	4	4	5	4	2	2	2	4	4	4	4	4	4	2	2	3	2	2	1	3	3	3	1	15	3	2	4	6	6	6	1	2	2	1	1	1	1	1	2	2	2	2	1	5	10	5	10	5	5	10	10	10	10	10	4	2	1	2	3	2	2	3	3	3	3	4	2	2	4	4	2	3	1	2	1	3	2	2	4	2	3	1	2	2	9	1	3	3	3	2	1	1	1	3	2	3	2	20	60	10	30	0	50	50	4	9	1	3	1																																																																																																																																																																																																																																		1	1	3	1	1	1	1	1	2	2	1	6816.29136		3	4	2	2	4	4	3	231
201409	"03092014"	1	2	5	1	2	2					6	1	2		2		3	6	4		2	2	2	9	2	2		4	2	1	2	2	2	2	2	1	5	5	1	1	2		5	1	1	1	2	4	1	3	3	4	4	2	5	3	5	3	5	2	3	2	5	2	2	4	4	4	3	3	2	2	4	2	3	3	3	1	5	9	9	2	6	6	6	1	2	2	1	1	1	2	1	9	2	2	3	1	7	7	9	8	8	9	8	5	9	8	8	6	1	1	3	4	5	2	1	1	1	1	5	1	4	4	4	4	1	3	2	9	1	1	4	3	2	2	1	2	3	1	3	2	3	3	1	1	4	1	4	4	4	1	999	999	20	20	20	80	60	3	2	2	2	1	1	3	2	3	36	7	2000	3	3	3	3	3	2	3	3	3	2	2	2	3	3	4	3	3	3	7	7	6	6	6	5	5	99	8	5	4	3	6	3	1	3	1	1	2	2	2	3	3	3	5	3	2	3	3	3	2	3	2	2	2	3	2	2	2	3	2	3	3	2	3	3	3	3	2	2	3	4	3	3	3	3	2	1	6		4	9	1	9	9	9	9	9	9	9	999	9	9	9	9	9	9	9	9	9	9	9	9	999	2		2	6				9	9	9	9	9	9	9	9	9	9	1	1	3	3	9	1	1	9	2	5	3	3	3	2	3	3	3	1	2	2	9	4	2	1	2	2	3	3	3	2	3	3	4	3	3	3	1	9	1	2	2	9	9	1	2	1	1	2	3	1	1	1	3	1	2	2	2	2	9	5	3	6	9	9	9	9	1	9	9	3	3	2	2	3	3	2	2	2	3	3	3	3	6	4	6	6	3	5	2	5	3	3	3	3	3	2	3	4	2	1	3	3	1	2	9	1	11	0	1	1	4968.282714	7356.312098	1	3	3	2	1	1	1	232
201409	"04092014"	1	1	3	2	2	1	40		1				2		2		2	5	2	5	1	2	2	1	2	1		4	2	1	2	2	2	2	2	1	4	4	1	1	2		5	1	3	1	2	4	9	4	9	4	1	5	4	3	3	4	4	4	5	5	5	4	4	5	4	5	1	1	2	1	2	1	2	3	2	1	1	2	2	4	1	2	3	1	1	1	2	1	9	1	1	1	2	2	3	1	9	9	1	10	1	9	1	1	1	1	9	8	2	1	2	3	5	4	4	4	3	2	2	2	4	4	4	2	3	3	1	1	1	2	2	4	2	3	9	9	9	9	1	3	3	3	1	1	1	2	1	1	2	1	20	70	70	80	100	100	100	2	2	2	3	1	2	2	1	5	50	3	2006	1	2	3	3	2	2	2	3	3	3	4	4	4	3	2	5	4	5	8	8	10	7	7	5	5	7	7	6	5	2	6	2	1	3	1	2	1	3	2	1	1	5	5	3	1	2	3	2	2	4	1	1	2	2	4	3	2	2	4	2	4	2	4	2	4	1	2	4	4	4	3	3	4	2	2	2		1	4	2	2	2	2	2	2	2	2	2	999	2	2	2	2	2	2	2	2	2	2	2	2	999	1	2	1		2	1		1	1	1	1	1	1	1	1	1	1	2	2		2	1	1	1	1	1	5	3	4	4	3	3	3	3	2				2	3	3	5	5	5	5	1	2	2	9	4	2	4	2	2				1	1	3	1	1	1	1	1	1	3	3	1	1	1	1	1	2	2	9	4	2	4	2	2	2	2	2	2	2	5	4	5	4	4	2	2	2	1	5	5	5	1	5	5	5	5	5	5	5	3	2	5	5	5	1	5	5	1	1	1	3	3	1	2	1	1	1	0	1	3	6304.821948	8685.730058	5	5	3	2	5	4	5	233
201409	"03092014"	1	1	5	1	2	2					4	1	2		2		3	7	2		1	1	1	1	2	2		3	2	1	2	2	1	1	1	1	4	4	2		2		5	3	9	2	2	3	1	5	2	4	3	5	4	5	5	2	2	5	4	4	2	4	4	5	5	2	1	1	4	1	1	1	2	3	2	1	2	1	1	2	4	1	2	3		2	2	2	2	2	2	4	2	2	2	1	7	9	6	10	7	7	10	10	10	8	10	10	3	2	3	1	5	2	1	1	1	1	5	1	2	4	4	4	2	1	1	1	1	1	4	4	2	1	1	1	1	1	3	3	3	3	1	1	1	3	1	1	2	1	100	100	100	100	100	100	100	1	3	3	2	1	1	2	1	4	25	3	1984	3	2	4	2	2	1	2	3	3	3	4	4	4	4	2	5	5	5	9	9	9	9	9	9	9	99	10	7	7	2	10	2	1	1	1	1	3	1	2	3	2	6	6	3	1	3	2	1	1	1	1	2	2	4	3	3	5	4	4	3	4	2	4	3	2	2	3	9	3	3	3	3	4	3	1	1	4		4	2	2	2	2	1	1	2	2	2	999	2	2	2	2	2	2	2	2	2	2	2	2	999	1	3	2	4				1	1	1	1	1	1	1	1	1	1	3	2		1	2	1	1	1	1	5	4	4	4	3	3	3	3	1	1	1	1	4	2	2	3	2	4	4	1	4	4	2	3	4	3	3	2				1	1	3	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	5	3	4	2	2	2	2	2	2	2	2	4	4	4	3	4	1	1	1	5	5	5	1	5	5	5	5	5	5	5	3	3	3	4	5	2	3	5	1	1	1	3	3	1	2	8	1	9	0	1	3	2975.560995	3210.777523	6	6	6	5	6	6	1	234
201409	"10092014"	1	1	1	2	2	1	40		1				2		2		1	8	2	5	1	1	1	2	1	1		2	9	3	9	9	1	1	9	2	3	2	2		2		4	1	4	2	2	4	1	3	3	2	4	2	3	3	4	2	2	5	2	3	5	4	5	4	3	3	2	2	1	2	3	2	2	2	2	1	15	1	1	4	4	2	2	3		2	2	2	1	4	1	2	1	2	2	1	8	4	7	7	6	7	5	7	9	8	9	4	2	2	2	4	2	1	5	3	3	2	2	1	3	4	4	2	2	3	2	1	1	1	3	4	2	1	1	2	1	1	2	3	3	3	1	1	1	2	2	3	2	2	65	65	40	80	50	80	65	2	3	2	2	2																																																																																																																																																																																																																																		1	3	3	1	2	2	1	2	0	1	2	4958.669369		6	6	4	3	4	3	4	235
201409	"02092014"	1	2	3	1	1	1	32		1				2		2		2	8	1	5	1	1	1	2	1	1	3	4	2	1	2	1	1	9	2	2	6	4	1	1	2		5	2	4	2	2	4	2	3	2	4	4	3	3	3	5	3	5	3	2	4	4	4	4	2	2	2	2	2	1	1	2	1	2	2	2	1	2	1	1	2	4	3	2	2	2	2	2	2	1	3	2	3	2	2	3	1	10	3	7	7	8	10	9	8	8	10	10	6	2	1	2	1	5	2	5	5	3	2	5	1	5	5	4	3	1	3	2	1	1	3	4	3	2	2	1	2	2	2	2	9	3	3	4	4	1	2	2	2	4	4	30	60	30	60	50	70	80	3	3	2	2	1	1	2	1	6	40	3	2005	1	1	1	5	1	2	2	3	2	3	4	4	4	4	2	5	4	5	7	9	8	9	10	8	7	99	6	7	7	2	8	1	1	3	1	1	2	2	1	1	1	2	3	3	1	2	3	2	3	2	2	2	2	4	2	2	4	2	4	2	4	2	4	2	4	4	4	4	4	2	9	3	3	1	4	2		1	4	2	1	2	2	2	2	2	2	9	999	2	2	2	2	2	2	2	2	2	2	2	2	999	1	3	1		2	4	2	1	1	1	3	2	1	3	3	4	1	9	9		2	1	9	1	1	1	2	1	1	2	3	3	3	3	1	3	3	2	3	3	3	3	3	5	5	2	5	5	2	2	5	2	4	2				1	1	3	1	1	1	2	1	1	3	2	1	1	1	1	9	2	2	1	3	2	5	2	9	2	1	2	2	2	4	4	5	2	2	5	1	1	1	5	5	5	1	5	5	5	5	5	5	5	1	2	2	2	4	3	4	4	2	2	1	2	3	1	3	2	1	2	0	1	3	3459.963214	3963.190721	6	6	6	3	6	4	6	236
201409	"29092014"	1	1	5	1	1	1	12		1				2		1	2	2	8	2	4	2	1	2	1	1	1	2	4	3	1	2	9	9	1	1	1	5	5	1	1	1	1	4	6	2	1	2	4	1	1	1	2	1	5	5	2	2	5	2	4	2	5	2	2	2	2	2	4	2	2	1	1	4	2	2	2	2	2		2	2	3	4	2	3	1	2	1	1	1	1	1	1	1	2	1	3	2	8	8	10	10	10	10	10	10	10	10	10	9	1	1	2	3	5	2	5	5	5	5	1	1	4	4	2	1	2	1	3	1	1	2	2	2	1	3	1	2	2	1	3	3	3	3	1	1	1	1	1	1	3	1	10	80	0	50	0	100	100	2	2	1	3	1	2	3	2	1	85	7	2006	1	1	1	4	2	1	2	3	3	3	4	4	4	4	2	5	5	4	10	10	9	9	8	9	7	9	9	7	5	2	9	2	1	3	1	1	2	2	2	1	1	2	3	3	1	2	2	4	2	2	1	1	2	4	2	2	4	2	2	2	4	1	4	2	3	3	4	4	4	3	3	3	4	3	1	2		2	4	9	9	9	9	1	9	9	9	9	2	9	9	9	9	9	9	9	9	9	9	9	1	999			2	1				1	1	1	1	1	1	1	1	1	1	3	1	1	3	2	2	2	2	2	5	5	5	5	3	3	3	3	2				1	3	3	5	5	5	5	1	5	5	2	2	5	2	5	2				1	9	1	1	1	1	9	9	1	1	3	1	9	1	1	1	1	2	9	9	9	9	1	1	1	1	1	1	1	2	3	2	2	2	3	1	2	1	5	5	5	1	5	5	5	5	5	5	5	3	4	4	4	4	1	4	4	2	1	1	3	3	1	2	9	1	11	0	1	1	2975.560995	3210.777523	3	6	4	3	4	4	1	237
